SPECTACLES,ARTISTES,LIEUX,,TARIF,PAGE,,"SAM
5","DIM
6","LUN
7","MAR
8","MER
9","JEU
10","VEN
11","SAM
12","DIM
13","LUN
14","MAR
15","MER
16","JEU
17","VEN
18","SAM
19","DIM
20","LUN
21","MAR
22","MER
23","JEU
24","VEN
25","SAM
26"
Démonter les remparts pour finir le pont,Gwenaël Morin,Maison Jean Vilar - Jardin de la rue de Mons,1h45,C,28,,,,,22h,22h,,22h,22h,22h,,22h,22h,22h,22h,22h,22h,,22h,22h,22h,22h,
Vive le sujet ! Tentatives – Série 1,"Olga Dukhovna, Wael Kadour",Jardin de la Vierge du lycée Saint-Joseph,1h30,B,29,,,,,,10h3018h,10h3018h,10h3018h,10h3018h,,,,,,,,,,,,,,
Affaires Familiales,Émilie Rousset,Chartreuse-CNES de Villeneuve lez Avignon,2h30,C,30,,,,,,18h,18h,18h,18h,18h,,18h,18h,18h,,,,,,,,,
Every-body-knows-what-tomorrow-brings-and-we-all-know-what-happened-yesterday,Mohamed Toukabri,Les Hivernales – CDCN d’Avignon,1h15,B,31,,,,,,,10h,10h,10h,10h,10h,,10h,10h,10h,10h,10h,,,,,,
Israel & Mohamed,"Israel Galván, Mohamed El Khatib",Cloître des Carmes,1h15,D,32,,,,,,,22h,22h,22h,22h,,22h,22h,22h,,22h,22h,22h,22h,22h,,,
,,,,,,,,,,,,,,12h,12h18h,12h,,,,,,,,,,,,
Le Sommet,Christoph Marthaler,La FabricA du Festival d’Avignon,2h,D,34,,,,,,,,,13h,13h,13h,,13h,13h,,,,,,,,,
,,,,,,,,,,,,,,22h,,,,,,,,,,,,,,
MAMI,Mario Banushi,Gymnase du lycée Aubanel,1h10,C,36,,,,,,,,,,18h30,18h30,,18h30,18h30,18h30,,,,,,,,
Radio Live,Aurélie Charon,Théâtre Benoît-XII,2h20,C/D,37,,,,,,,,,,,17h,17h,17h,,13h,17h,17h,17h,,,,,
La Voix des femmes,Hommage à Oum Khaltoum,Cour d’honneur du palais des Papes,2h,F,38,,,,,,,,,,,22h,,,,,,,,,,,,
Nour,Une célébration poétique de l’arabe,Cour du lycée Saint-Joseph,3h30,C,39,,,,,,,,,,,,22h,,,,,,,,,,,
Vive le sujet ! Tentatives – Série 2,"Soa Ratsifandrihana, Yasmine Hadj Ali,Antoine Kobi, Ike Zacsongo-Joseph",Jardin de la Vierge du lycée Saint-Joseph,1h30,B,40,,,,,,,,,,,,,10h3018h,10h3018h,10h3018h,10h3018h,,,,,,,
One’s own room Inside Kabul,"Caroline Gillet, Kubra Khademi, Sumaia Sediqi",Salle des colloques – cloître Saint-Louis,1h,B,41,,,,,,,,,,,,,"9h30, 10h45, 12h, 13h1516h, 17h15, 18h30",,,,,"9h30, 10h45, 12h, 13h1516h, 17h15, 18h30",,,,,
Rinse,"Amrita Hepi, Mish Grigor",Gymnase du lycée Mistral,50min,C,42,,,,,,,,,,,,,,18h,12h18h,18h,,18h,18h,,,,
Gahugu Gato (Petit Pays),"Dida Nibagwire, Frédéric Fisbach",Cloître des Célestins,1h45,C,43,,,,,,,,,,,,,,22h,22h,,22h,22h,22h,,,,
Le Procès Pelicot,Hommage à Gisèle Pelicot,Cloître des Carmes,3h,/,44,,,,,,,,,,,,,,,22h,,,,,,,,
Derniers Feux,Némo Flouret,Cour du lycée Saint-Joseph,2h,C,45,,,,,,,,,,,,,,,,22h,22h,22h,,22h,22h,22h,
Le Soulier de satin,"Éric Ruf, Comédie-Française",Cour d’honneur du palais des Papes,8h,G,46,,,,,,,,,,,,,,,,22h,22h,,22h,22h,22h,22h,
TAIRE,Tamara Al Saadi,La FabricA du Festival d’Avignon,2h,C,47,,,,,,,,,,,,,,,,,,13h,13h,13h,,,
Les Incrédules,Samuel Achache,Opéra Grand Avignon,2h,E,48,,,,,,,,,,,,,,,,,,,17h,17h,17h,17h,
Vive le sujet ! Tentatives – Série 3,"Solène Wachter, Suzanne de Baecque",Jardin de la Vierge du lycée Saint-Joseph,1h30,B,49,,,,,,,,,,,,,,,,,,,,10h3018h,10h3018h,10h3018h,10h3018h
YES DADDY,"Bashar Murkus, Khulood Basel",Théâtre Benoît-XII,1h15,C,50,,,,,,,,,,,,,,,,,,,,,18h,18h,18h
"Soma, concert de clôture",Branko,La FabricA du Festival d’Avignon,2h30,C,51,,,,,,,,,,,,,,,,,,,,,,,22h
EXPOSITION – Les Clés du Festival,,Maison Jean Vilar,,I,52,,de 11h à 20h,,,,,,,,,,,,,,,,,,,,,
EXPOSITION – L’Arrière-pays,,Musée des Curiosités – Église des Célestins,,/,53,,11h à 13h et de14h à 19h,,,11h à 13h et de 14h à 19h,,,,,,,11h à 13h et de 14h à 19h,,,,,,,11h à 13h et de 14h à 19h,,,,
SPECTACLES,ARTISTES,LIEUX,,PRICE,PAGE,,SAM5,DIM6,LUN7,MAR8,MER9,JEU10,VEN11,SAM12,DIM13,LUN14,MAR15,MER16,JEU17,VEN18,SAM19,DIM20,LUN21,MAR22,MER23,JEU24,VEN25,SAM26
